session,timestamp,n_points,dtheta_deg,r_bar_m,alpha,clusters_baseline,clusters_kernel,noise_baseline,noise_kernel,silhouette_baseline,silhouette_kernel,db_baseline,db_kernel
2025.01.01_MedRoom_Empty_01.csv,1767275684.2762113,259,1.203125,1.4795,0.6850228180906398,8,8,0.3861003861003861,0.0,0.5355754073924807,0.5310401659884881,0.4363837263604087,0.4375784785350424
2025.01.01_MedRoom_Empty_01.csv,1767275684.427586,261,1.203125,1.4795,0.6850228180906398,9,8,0.7662835249042146,0.0,0.49999036117796203,0.522998473272056,0.4340968061758175,0.44544501840001305
2025.01.01_MedRoom_Empty_01.csv,1767275684.5815935,259,1.203125,1.47875,0.6850300246197565,8,8,1.9305019305019304,1.5444015444015444,0.5460575235973563,0.5434903836299924,0.44008534325910076,0.4411908314532546
2025.01.01_MedRoom_Empty_01.csv,1767275684.7314332,262,1.203125,1.484875,0.6849710736419139,7,7,1.9083969465648856,0.3816793893129771,0.5498884251873566,0.5418988736103715,0.43992872619264506,0.44613870919138054
2025.01.01_MedRoom_Empty_01.csv,1767275684.8860862,259,1.203125,1.4795,0.6850228180906398,9,8,0.7722007722007722,0.3861003861003861,0.507586559357917,0.5351892192899995,0.4312472755855457,0.4420795486508318
2025.01.01_MedRoom_Empty_01.csv,1767275685.0362272,260,1.203125,1.48475,0.6849722789500317,9,7,1.5384615384615385,1.1538461538461537,0.5029440065293205,0.5411852155663508,0.43148107122769175,0.4415869905102495
2025.01.01_MedRoom_Empty_01.csv,1767275685.1905618,260,1.203125,1.478875,0.6850288237630523,9,7,0.7692307692307693,0.38461538461538464,0.5063297366418269,0.5429932667652984,0.4346908022602556,0.4486279086133846
2025.01.01_MedRoom_Empty_01.csv,1767275685.3406894,260,1.203125,1.484625,0.6849734841652577,9,7,1.1538461538461537,0.7692307692307693,0.5036173295124649,0.5412428277852438,0.43292824354695725,0.44329548133580055
2025.01.01_MedRoom_Empty_01.csv,1767275685.4953969,259,1.203125,1.481,0.6850083950283882,9,8,0.7722007722007722,0.3861003861003861,0.5114288075485174,0.5281637918580406,0.4323181561218259,0.4440219312330843
2025.01.01_MedRoom_Empty_01.csv,1767275685.645994,256,1.203125,1.466,0.6851520268483715,8,8,2.734375,0.0,0.5661570557520827,0.539193963388459,0.4236007744405118,0.4336933234998837
2025.01.01_MedRoom_Empty_01.csv,1767275685.7990303,258,1.203125,1.476875,0.685048026364681,8,8,3.10077519379845,0.3875968992248062,0.5475483550075962,0.5313956609369581,0.4328921575605905,0.44294128358185747
2025.01.01_MedRoom_Empty_01.csv,1767275685.95011,257,1.203125,1.48225,0.6849963656138516,9,8,1.556420233463035,0.0,0.5038334448323024,0.5273776163397942,0.42944824398810616,0.44434794778200426
2025.01.01_MedRoom_Empty_01.csv,1767275686.1015403,257,1.203125,1.474,0.6850755886343023,9,7,1.556420233463035,0.38910505836575876,0.508851823900067,0.5448516022824235,0.4309418762589463,0.44337309755998483
2025.01.01_MedRoom_Empty_01.csv,1767275686.255223,258,1.203125,1.477625,0.685040828164892,8,8,1.937984496124031,1.937984496124031,0.5557426415020991,0.5557426415020991,0.43936199429898226,0.43936199429898226
2025.01.01_MedRoom_Empty_01.csv,1767275686.4064105,260,1.203125,1.481125,0.685007192504171,9,8,0.38461538461538464,0.0,0.5132130732147927,0.532772542973799,0.4330980230703324,0.44323266408423945
2025.01.01_MedRoom_Empty_01.csv,1767275686.5592985,259,1.203125,1.474,0.6850755886343023,8,8,1.5444015444015444,0.7722007722007722,0.5550403319192513,0.5426446868764646,0.4350409537724327,0.4384157297675995
2025.01.01_MedRoom_Empty_01.csv,1767275686.71301,262,1.203125,1.487,0.6849505691851346,8,7,0.7633587786259542,0.3816793893129771,0.5301766492510647,0.5372442024272635,0.44704062966308616,0.45159926056500804
2025.01.01_MedRoom_Empty_01.csv,1767275686.863843,260,1.203125,1.47425,0.6850731938552633,9,8,1.1538461538461537,1.1538461538461537,0.5091431982849914,0.5308576380333032,0.43038667231582706,0.4400976014050021
2025.01.01_MedRoom_Empty_01.csv,1767275687.0180566,259,1.203125,1.47975,0.6850204151734035,8,8,1.9305019305019304,0.3861003861003861,0.5610576800083362,0.5396261491449791,0.4355893557868786,0.44183236118806335
2025.01.01_MedRoom_Empty_01.csv,1767275687.1686692,264,1.203125,1.49475,0.6848755602031313,7,7,1.5151515151515151,0.7575757575757576,0.5347035241908045,0.5352143170949977,0.44586593333916646,0.44953885016081657
2025.01.01_MedRoom_Empty_01.csv,1767275687.323117,258,1.203125,1.476,0.6850564200567173,9,7,1.550387596899225,0.3875968992248062,0.5146555288377865,0.5482921215503762,0.4312000131444118,0.44640821542663084
2025.01.01_MedRoom_Empty_01.csv,1767275687.4730637,258,1.203125,1.477,0.685046826895953,9,7,1.1627906976744187,1.1627906976744187,0.5040588034999743,0.5418468550183384,0.4340655448272363,0.44743743934360636
2025.01.01_MedRoom_Empty_01.csv,1767275687.627352,261,1.203125,1.486,0.6849602216876475,9,8,1.1494252873563218,0.3831417624521073,0.436561107622587,0.5215879320220036,0.4356762233523056,0.4458092133014908
2025.01.01_MedRoom_Empty_01.csv,1767275687.7773676,261,1.203125,1.4895,0.6849264118787863,10,7,0.3831417624521073,0.3831417624521073,0.41606003750033793,0.5293539415841285,0.4305696310811757,0.4450951355995695
2025.01.01_MedRoom_Empty_01.csv,1767275687.931463,260,1.203125,1.481,0.6850083950283882,9,7,0.7692307692307693,0.0,0.5054710601667519,0.5393955649742271,0.43544345041437854,0.44915564223393645
2025.01.01_MedRoom_Empty_01.csv,1767275688.0822992,260,1.203125,1.4845,0.6849746892875989,9,7,1.1538461538461537,0.7692307692307693,0.5104504789027713,0.5453505742644634,0.4319665254911234,0.4429867888580672
2025.01.01_MedRoom_Empty_01.csv,1767275688.2367177,263,1.203125,1.4895,0.6849264118787863,9,7,0.7604562737642585,0.38022813688212925,0.498250635820335,0.533663727382674,0.4344859888201793,0.44574483547892757
2025.01.01_MedRoom_Empty_01.csv,1767275688.3901525,262,1.203125,1.487625,0.6849445333484621,9,7,1.5267175572519085,0.0,0.5072067360655104,0.5300133102825102,0.4351511481946561,0.45444483581405454
2025.01.01_MedRoom_Empty_01.csv,1767275688.540859,256,1.203125,1.4745,0.6850707987068547,8,8,1.171875,0.390625,0.557890712029336,0.5454796474501309,0.4353361034386547,0.43873971758020597
2025.01.01_MedRoom_Empty_01.csv,1767275688.694636,260,1.203125,1.477,0.685046826895953,9,7,1.9230769230769231,1.1538461538461537,0.5054943160876191,0.5393540855530196,0.4330903900813822,0.44868634423916465
2025.01.01_MedRoom_Empty_01.csv,1767275688.845109,260,1.203125,1.4875,0.6849457407018553,9,8,1.1538461538461537,0.38461538461538464,0.5031746103342981,0.5204536522321517,0.4385206047761672,0.44395076805048367
2025.01.01_MedRoom_Empty_01.csv,1767275688.996282,261,1.203125,1.48825,0.6849384951857267,9,7,1.1494252873563218,0.7662835249042146,0.4992788809332861,0.5328134477734668,0.436253768253133,0.4505846879542062
2025.01.01_MedRoom_Empty_01.csv,1767275689.1500452,259,1.203125,1.488,0.6849409107300009,8,7,2.3166023166023164,0.0,0.5421209645151956,0.5286951365052818,0.44065266986429547,0.45163078133800616
2025.01.01_MedRoom_Empty_01.csv,1767275689.30129,256,1.203125,1.4695,0.6851186315542546,8,8,2.34375,0.0,0.5541378346801614,0.5311009099499749,0.4319180146872102,0.4414307848396576
2025.01.01_MedRoom_Empty_01.csv,1767275689.4550877,259,1.203125,1.47,0.6851138549072172,8,7,2.3166023166023164,0.0,0.5464545306020273,0.5354548133811837,0.4378806454899448,0.44930444376100404
2025.01.01_MedRoom_Empty_01.csv,1767275689.605134,258,1.203125,1.475875,0.6850576187857923,9,7,0.3875968992248062,0.3875968992248062,0.5037393585053824,0.546559903746195,0.4352987745839579,0.44657374159981394
2025.01.01_MedRoom_Empty_01.csv,1767275689.760002,260,1.203125,1.48525,0.6849674571601451,8,8,1.9230769230769231,0.0,0.5597327901065962,0.5320120037354968,0.4365402471424444,0.44410390564592284
2025.01.01_MedRoom_Empty_01.csv,1767275689.9103594,263,1.203125,1.4885,0.6849360792691512,9,7,0.7604562737642585,0.38022813688212925,0.4983137397381938,0.5292821267046439,0.43737143982436183,0.44999845260147026
2025.01.01_MedRoom_Empty_01.csv,1767275690.0646052,260,1.203125,1.485125,0.6849686627469772,8,7,1.9230769230769231,0.7692307692307693,0.5528751452622882,0.5431238787179192,0.4411915693686641,0.4482893380523337
2025.01.01_MedRoom_Empty_01.csv,1767275690.2183297,261,1.203125,1.48275,0.6849915512511051,9,7,1.5325670498084292,0.0,0.510784741753751,0.5344012327963428,0.4348254717199119,0.45265979267162276
2025.01.01_MedRoom_Empty_01.csv,1767275690.3687794,258,1.203125,1.4755,0.6850612144184799,9,8,2.3255813953488373,0.7751937984496124,0.5111903379334183,0.4727171898225261,0.42790562664626774,0.44665237565073934
2025.01.01_MedRoom_Empty_01.csv,1767275690.5230384,260,1.203125,1.475875,0.6850576187857923,9,8,1.1538461538461537,0.7692307692307693,0.5114919142052219,0.47700369877838045,0.4302135377163006,0.4386802083645827
2025.01.01_MedRoom_Empty_01.csv,1767275690.6728935,259,1.203125,1.4865,0.6849553961802587,9,8,0.7722007722007722,0.0,0.5075563545523435,0.4641051915102069,0.43199000183726594,0.4444791342729049
2025.01.01_MedRoom_Empty_01.csv,1767275690.8269386,261,1.203125,1.484,0.6849795088482427,8,7,1.1494252873563218,0.3831417624521073,0.514651761886044,0.5297119111389234,0.4447940937669128,0.44583794973169827
2025.01.01_MedRoom_Empty_01.csv,1767275690.977819,260,1.203125,1.480875,0.6850095974599102,9,7,0.38461538461538464,0.0,0.5024917400384246,0.5403955836677741,0.4360242160722916,0.4486195582957337
2025.01.01_MedRoom_Empty_01.csv,1767275691.131768,258,1.203125,1.479,0.685027622813764,9,8,0.7751937984496124,0.0,0.510913009774602,0.4675723969090149,0.4308815402862477,0.44368608323717884
2025.01.01_MedRoom_Empty_01.csv,1767275691.285366,260,1.203125,1.476,0.6850564200567173,9,8,0.7692307692307693,0.7692307692307693,0.5077475862563858,0.47075868017283695,0.4313377155555642,0.44204244451800767
2025.01.01_MedRoom_Empty_01.csv,1767275691.436432,260,1.203125,1.483875,0.6849807135062564,8,8,1.9230769230769231,0.7692307692307693,0.5487386730792544,0.5334032707255938,0.43790485039724203,0.4424036622930589
2025.01.01_MedRoom_Empty_01.csv,1767275691.5876343,259,1.203125,1.48075,0.6850107997987436,9,8,0.3861003861003861,0.3861003861003861,0.5041243322127078,0.5257137388242152,0.43450110956439536,0.44467056758568574
2025.01.01_MedRoom_Empty_01.csv,1767275691.7409642,260,1.203125,1.479125,0.6850264217718851,9,7,1.9230769230769231,0.7692307692307693,0.5009606865861415,0.5353273542585099,0.4312202653750438,0.4439737159937763
2025.01.01_MedRoom_Empty_01.csv,1767275691.894879,260,1.203125,1.47925,0.6850252206374092,9,7,1.9230769230769231,0.38461538461538464,0.5043342593118262,0.5384581064849491,0.43124312700074224,0.44858369297152106
2025.01.01_MedRoom_Empty_01.csv,1767275692.0459976,260,1.203125,1.483125,0.6849879395048063,9,8,1.1538461538461537,0.7692307692307693,0.509055393639837,0.5284112564519838,0.43239914676496327,0.44340056937394756
2025.01.01_MedRoom_Empty_01.csv,1767275692.199877,259,1.203125,1.47875,0.6850300246197565,9,7,1.1583011583011582,0.3861003861003861,0.4991011629104204,0.5422584769243676,0.4344076927893686,0.44985789908424384
2025.01.01_MedRoom_Empty_01.csv,1767275692.3502164,261,1.203125,1.48275,0.6849915512511051,9,7,0.7662835249042146,0.0,0.5002937282862868,0.533727743222978,0.43739085876695977,0.45300749762099507
2025.01.01_MedRoom_Empty_01.csv,1767275692.5035343,261,1.203125,1.47775,0.6850396281411499,9,8,0.7662835249042146,0.7662835249042146,0.507940092700978,0.5293699330693136,0.4329713664215352,0.4422466414195827
2025.01.01_MedRoom_Empty_01.csv,1767275692.6580706,261,1.203125,1.484,0.6849795088482427,9,7,1.5325670498084292,0.0,0.5055479894173527,0.5314815013948504,0.4338615742205595,0.4473857049197662
2025.01.01_MedRoom_Empty_01.csv,1767275692.8090718,259,1.203125,1.4725,0.6850899495546953,8,8,1.9305019305019304,0.7722007722007722,0.5592039395973164,0.5399286129012003,0.4337350728180103,0.4389651919694476
2025.01.01_MedRoom_Empty_01.csv,1767275692.9625497,262,1.203125,1.484625,0.6849734841652577,8,7,0.7633587786259542,0.0,0.5253336181104062,0.5326353923048608,0.4483659799768403,0.4534470675690056
2025.01.01_MedRoom_Empty_01.csv,1767275693.114046,261,1.203125,1.48425,0.6849770992536517,8,8,0.3831417624521073,0.3831417624521073,0.5251903799925686,0.5251903799925686,0.44735382050409606,0.44735382050409606
2025.01.01_MedRoom_Empty_01.csv,1767275693.266953,260,1.203125,1.48475,0.6849722789500317,8,7,1.5384615384615385,0.38461538461538464,0.5190129809555919,0.5337910676137909,0.4471714305081428,0.45201745452623426
2025.01.01_MedRoom_Empty_01.csv,1767275693.4181576,259,1.203125,1.4795,0.6850228180906398,9,7,0.0,0.0,0.5034095852249015,0.5386896750848584,0.43653709800685125,0.4455838780927511
2025.01.01_MedRoom_Empty_01.csv,1767275693.5720384,260,1.203125,1.482375,0.6849951621623224,9,7,0.7692307692307693,0.0,0.5089376800057965,0.5351626924040916,0.4341889534114969,0.446137597304554
2025.01.01_MedRoom_Empty_01.csv,1767275693.7231908,260,1.203125,1.477375,0.6850432279348266,9,7,0.7692307692307693,0.7692307692307693,0.5073733451768332,0.5457812849649344,0.4356888793898698,0.449264177772564
2025.01.01_MedRoom_Empty_01.csv,1767275693.875816,260,1.203125,1.479375,0.6850240194103296,8,8,1.5384615384615385,0.0,0.548786949593032,0.5253412572949567,0.4384904713812976,0.4448428799556008
2025.01.01_MedRoom_Empty_01.csv,1767275694.027536,260,1.203125,1.48125,0.6850059898872519,9,7,1.5384615384615385,0.38461538461538464,0.5012974948484517,0.5422772024999623,0.4353671494563873,0.4512910085246216
2025.01.01_MedRoom_Empty_01.csv,1767275694.1816492,260,1.203125,1.479375,0.6850240194103296,9,8,0.7692307692307693,0.7692307692307693,0.5048253882960981,0.467711094508276,0.43242218651136466,0.44235561422844577
2025.01.01_MedRoom_Empty_01.csv,1767275694.335091,261,1.203125,1.47725,0.6850444276810324,9,8,1.9157088122605364,0.0,0.5049605943209237,0.5251783384303422,0.4293636105432933,0.4434415390998839
2025.01.01_MedRoom_Empty_01.csv,1767275694.4859562,260,1.203125,1.482,0.6849987722386348,9,7,0.7692307692307693,0.0,0.5060987451421531,0.5397705968664112,0.43466504711048504,0.4490729291679883
2025.01.01_MedRoom_Empty_01.csv,1767275694.6369925,261,1.203125,1.49175,0.6849046384503502,8,7,1.5325670498084292,0.0,0.5362395599883016,0.5250343055819571,0.44499592545000927,0.45401160060253953
2025.01.01_MedRoom_Empty_01.csv,1767275694.7901902,257,1.203125,1.47025,0.6851114660309996,8,8,2.7237354085603114,0.0,0.5538276223046465,0.5343324666661756,0.43221325487489975,0.44233669882318083
2025.01.01_MedRoom_Empty_01.csv,1767275694.940729,263,1.203125,1.48775,0.6849433259020261,8,7,0.7604562737642585,0.7604562737642585,0.5291656828949689,0.5373799637061105,0.44740108862472233,0.4508340147720436
